STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-6 	 8 	 1019 	0 	 0 	 90 	-0.35875 	 0.60375 	 -0.35875 	23.6 	
-6 	 10 	 1020 	0 	 0 	 90 	-0.105 	 0.51625 	 -0.5775 	23.6 	
-7 	 13 	 1018 	0 	 0 	 90 	0.21 	 0.3675 	 -0.74375 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	0.32375 	 0.32375 	 -0.77 	23.6 	
-7 	 15 	 1015 	0 	 0 	 90 	0.35 	 0.32375 	 -0.6475 	23.6 	
-7 	 13 	 1014 	0 	 0 	 90 	0.0175 	 0.4375 	 -0.37625 	23.6 	
-7 	 13 	 1014 	0 	 0 	 90 	-0.23625 	 0.5775 	 -0.2275 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.46375 	 0.67375 	 -0.0875 	23.6 	
-8 	 12 	 1018 	0 	 0 	 90 	-0.42875 	 0.63 	 -0.06125 	23.6 	
-7 	 12 	 1015 	0 	 0 	 90 	-0.34125 	 0.65625 	 -0.06125 	23.7 	
-7 	 14 	 1013 	0 	 0 	 90 	-0.69125 	 0.72625 	 0.07875 	23.7 	
-6 	 11 	 1018 	0 	 0 	 90 	-1.2075 	 0.945 	 0.28875 	23.6 	
-7 	 10 	 1019 	0 	 0 	 90 	-0.95375 	 0.8225 	 0.20125 	23.6 	
-8 	 10 	 1019 	0 	 0 	 90 	-0.63 	 0.6825 	 0.14875 	23.7 	
-8 	 9 	 1019 	0 	 0 	 90 	-0.30625 	 0.56875 	 0.105 	23.7 	
-8 	 10 	 1016 	0 	 0 	 90 	-0.175 	 0.51625 	 0.035 	23.7 	
-7 	 10 	 1017 	0 	 0 	 90 	-0.175 	 0.56875 	 -0.1225 	23.7 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.14875 	 0.56 	 -0.35 	23.6 	
-6 	 9 	 1017 	0 	 0 	 90 	-0.20125 	 0.5425 	 -0.49875 	23.6 	
-7 	 9 	 1019 	0 	 0 	 90 	-0.20125 	 0.51625 	 -0.67375 	23.6 	
-7 	 9 	 1019 	0 	 0 	 90 	-0.11375 	 0.53375 	 -0.7875 	23.6 	
-7 	 9 	 1020 	0 	 0 	 90 	0.245 	 0.315 	 -0.81375 	23.6 	
-7 	 12 	 1014 	0 	 0 	 90 	0.4375 	 0.28875 	 -0.805 	23.6 	
-3 	 10 	 1008 	0 	 0 	 90 	-0.04375 	 0.4725 	 -0.67375 	23.6 	
-5 	 2 	 1025 	0 	 0 	 90 	-0.44625 	 0.63 	 -0.97125 	23.6 	
-7 	 10 	 1016 	0 	 0 	 90 	0.06125 	 0.39375 	 -1.3825 	23.6 	
